"","sta.nm","Vehicle.types","hh","day","dur.v.use.sta","rank"
"83","강릉휴게소(강릉)","버스","3시","목",0,663.5
"84","강릉휴게소(강릉)","버스","3시","토",0,739.5
"85","강릉휴게소(강릉)","버스","4시","수",0,808
"86","강릉휴게소(강릉)","버스","4시","목",31.696,3704
"87","강릉휴게소(강릉)","버스","4시","토",0,739.5
"88","강릉휴게소(강릉)","버스","5시","수",20.546,3359
"89","강릉휴게소(강릉)","버스","5시","목",102.629333333333,4369
"90","강릉휴게소(강릉)","버스","5시","토",7.67933333333333,2001
"91","강릉휴게소(강릉)","버스","6시","수",152.987666666667,4428
"92","강릉휴게소(강릉)","버스","6시","목",0,663.5
"93","강릉휴게소(강릉)","버스","6시","토",0,739.5
"94","강릉휴게소(강릉)","버스","7시","수",6.55383333333333,2061
"95","강릉휴게소(강릉)","버스","7시","목",0,663.5
"96","강릉휴게소(강릉)","버스","7시","토",62.6136666666667,4229
"97","강릉휴게소(강릉)","버스","8시","수",24.0618333333333,3558
"98","강릉휴게소(강릉)","버스","8시","목",62.094,4231
"99","강릉휴게소(강릉)","버스","8시","토",0,739.5
"100","강릉휴게소(강릉)","버스","9시","수",0,808
"101","강릉휴게소(강릉)","버스","9시","목",36.7923333333333,3859
"102","강릉휴게소(강릉)","버스","9시","토",112.400333333333,4333
"103","강릉휴게소(강릉)","버스","10시","수",29.95,3765
"104","강릉휴게소(강릉)","버스","10시","목",9.40666666666667,2084
"105","강릉휴게소(강릉)","버스","10시","토",17.7266666666667,3332
"106","강릉휴게소(강릉)","버스","11시","수",36.9766666666667,3966
"107","강릉휴게소(강릉)","버스","11시","목",9.92166666666667,2146
"108","강릉휴게소(강릉)","버스","11시","토",15.1021666666667,3042
"109","강릉휴게소(강릉)","버스","12시","수",32.402,3843
"110","강릉휴게소(강릉)","버스","12시","목",11.8683333333333,2387
"111","강릉휴게소(강릉)","버스","12시","토",32.1526666666667,3933
"112","강릉휴게소(강릉)","버스","13시","수",0,808
"113","강릉휴게소(강릉)","버스","13시","목",121.703333333333,4401
"114","강릉휴게소(강릉)","버스","13시","토",0,739.5
"115","강릉휴게소(강릉)","버스","14시","수",1.37,1715
"116","강릉휴게소(강릉)","버스","14시","목",5.87333333333333,1735.5
"117","강릉휴게소(강릉)","버스","14시","토",19.9166666666667,3490
"118","강릉휴게소(강릉)","버스","15시","수",130.856666666667,4405
"119","강릉휴게소(강릉)","버스","15시","목",0,663.5
"120","강릉휴게소(강릉)","버스","15시","토",0,739.5
"121","강릉휴게소(강릉)","버스","16시","수",52.57,4164
"122","강릉휴게소(강릉)","버스","16시","목",40.52,3946
"123","강릉휴게소(강릉)","버스","16시","토",0,739.5
"124","강릉휴게소(강릉)","버스","17시","수",39.79,4015
"125","강릉휴게소(강릉)","버스","17시","목",107.808333333333,4382
"126","강릉휴게소(강릉)","버스","17시","토",81.5866666666667,4280
"127","강릉휴게소(강릉)","버스","18시","수",8.22666666666667,2213
"128","강릉휴게소(강릉)","버스","18시","목",0,663.5
"129","강릉휴게소(강릉)","버스","18시","토",0,739.5
"130","강릉휴게소(강릉)","버스","19시","수",0,808
"131","강릉휴게소(강릉)","버스","19시","목",0,663.5
"132","강릉휴게소(강릉)","버스","19시","토",10.2033333333333,2346
"133","강릉휴게소(강릉)","버스","20시","수",0,808
"134","강릉휴게소(강릉)","버스","20시","목",0,663.5
"135","강릉휴게소(강릉)","버스","20시","토",0,739.5
"136","강릉휴게소(강릉)","버스","21시","수",0,808
"137","강릉휴게소(강릉)","버스","21시","목",0,663.5
"138","강릉휴게소(강릉)","버스","21시","토",11.425,2533
"139","강릉휴게소(강릉)","버스","22시","수",0,808
"140","강릉휴게소(강릉)","버스","22시","목",5.69,1721.5
"141","강릉휴게소(강릉)","버스","22시","토",0,739.5
"142","강릉휴게소(강릉)","버스","23시","수",0,808
"143","강릉휴게소(강릉)","버스","23시","목",0,663.5
"144","강릉휴게소(강릉)","버스","23시","토",0,739.5
"145","강릉휴게소(강릉)","화물차","0시","수",0,301
"146","강릉휴게소(강릉)","화물차","0시","목",30.7341666666667,2985
"147","강릉휴게소(강릉)","화물차","0시","토",0,446.5
