No,direction,svarAddr,routeName,telNo,serviceAreaCode,serviceAreaName,routeCode,serviceAreaCode2,maintenanceYn,truckSaYn,경도,위도,상태
181,평택,충북 충주시 산척면평택제천고속도로 109,평택제천선,043-844-2930,A00239,천등산(평택)휴게소,400,420,0,0,?,?,실패
182,제천,충북 충주시 산척면평택제천고속도로 106,평택제천선,043-844-2991,A00240,천등산(제천)휴게소,400,419,0,0,?,?,실패
183,포항,경북 경주시 외동읍상석길 58-70,울산포항선,054-745-0631,A00246,외동(포항)휴게소,652,440,0,0,?,?,실패
184,울산,경북 경주시 외동읍 상석길 58-74,울산포항선,054-745-0637,A00247,외동(울산)휴게소,652,441,0,0,?,?,실패
185,청주,경북 의성군 안계면새못안길 45-49,당진영덕선,054-862-9076,A00253,의성(청주)휴게소,300,495,0,0,?,?,실패
186,영덕,경북 의성군 안계면새못안길 45-47,당진영덕선,054-862-9252,A00254,의성(영덕)휴게소,300,496,0,0,?,?,실패
