휴게소명    ,차종,시간대,DSRC전체교통량,DSRC휴게소교통량,휴게소이용비율,링크통행량,휴게소통행량,평균체류시간
만남의광장,1,1,875,56,6,4138.55,265,544.16
만남의광장,1,2,518,35,7,2137.6,144,807.44
만남의광장,1,3,298,24,8,1176.68,95,844.6
만남의광장,1,4,261,28,11,946.86,102,853.05
만남의광장,1,5,436,45,10,1369.48,141,722.76
만남의광장,1,6,1744,109,6,4673.44,292,958.22
만남의광장,1,7,2467,127,5,6987.11,360,1036.46
만남의광장,1,8,2243,152,7,6923.4,469,1182.19
만남의광장,1,9,2188,173,8,7073.97,559,1884.16
만남의광장,1,10,2050,188,9,6827.48,626,1389.32
만남의광장,1,11,2257,198,9,7327.71,643,1249.78
만남의광장,1,12,2260,255,11,7323.19,826,1366.31
만남의광장,1,13,1915,211,11,6388.66,704,1311.93
만남의광장,1,14,1831,196,11,6147.76,658,1404.78
만남의광장,1,15,1880,216,11,6278.3,721,1488.53
만남의광장,1,16,1946,189,10,6752.08,656,1201.59
만남의광장,1,17,2048,172,8,7018.53,589,1303.36
만남의광장,1,18,2167,183,8,7472.29,631,1018.86
만남의광장,1,19,2358,209,9,8058.51,714,1067.97
만남의광장,1,20,2147,184,9,6995.47,600,1066
만남의광장,1,21,1885,140,7,6040.58,449,880.52
만남의광장,1,22,2190,146,7,6564.55,438,661.11
만남의광장,1,23,2073,134,6,6476.93,419,467.23
만남의광장,1,24,1333,104,8,4419.86,345,405.19
만남의광장,2,1,36,0,0,216.39,0,0
만남의광장,2,2,21,2,10,62.34,6,6623.9
만남의광장,2,3,9,1,11,32.14,4,364
만남의광장,2,4,22,0,0,48.9,0,0
만남의광장,2,5,39,3,8,105.38,8,683.53
만남의광장,2,6,71,5,7,177.49,12,3696.92
만남의광장,2,7,149,3,2,650.05,13,1880.93
만남의광장,2,8,166,2,1,896.92,11,794.2
만남의광장,2,9,151,4,3,1044.35,28,2316.05
만남의광장,2,10,108,0,0,945.83,0,0
만남의광장,2,11,85,2,2,693.31,16,6561.4
만남의광장,2,12,69,0,0,691.48,0,0
만남의광장,2,13,71,0,0,687.85,0,0
만남의광장,2,14,57,2,4,591.04,21,6487.3
만남의광장,2,15,70,0,0,725.1,0,0
만남의광장,2,16,96,2,2,836.97,17,631.4
만남의광장,2,17,110,3,3,815.44,22,670.07
만남의광장,2,18,85,1,1,759.43,9,23
만남의광장,2,19,61,1,2,722.1,12,404.6
만남의광장,2,20,62,2,3,768.04,25,2904.9
만남의광장,2,21,47,0,0,611.2,0,0
만남의광장,2,22,17,0,0,397.85,0,0
만남의광장,2,23,28,1,4,386.23,14,171
만남의광장,2,24,20,0,0,194.39,0,0
만남의광장,3,1,69,2,3,301.96,9,1084.1
만남의광장,3,2,66,2,3,233.15,7,1886.6
만남의광장,3,3,48,1,2,153.29,3,895.6
만남의광장,3,4,49,1,2,149.75,3,233
만남의광장,3,5,74,6,8,160.25,13,3290.3
만남의광장,3,6,96,6,6,285.53,18,1114.77
만남의광장,3,7,75,4,5,227.62,12,1733.5
만남의광장,3,8,49,3,6,179.3,11,2236.4
만남의광장,3,9,47,5,11,144.95,15,3023.44
만남의광장,3,10,43,3,7,145.36,10,3513.4
만남의광장,3,11,36,3,8,107.73,9,985.2
만남의광장,3,12,50,3,6,163.69,10,1312.67
만남의광장,3,13,49,1,2,152.21,3,296.2
만남의광장,3,14,37,2,5,135.46,7,325.7
만남의광장,3,15,37,0,0,127.09,0,0
만남의광장,3,16,25,3,12,82.89,10,2551.47
만남의광장,3,17,21,0,0,84.62,0,0
만남의광장,3,18,15,2,13,52.78,7,3866.5
만남의광장,3,19,15,0,0,37.16,0,0
만남의광장,3,20,32,0,0,98.63,0,0
만남의광장,3,21,44,4,9,96.52,9,972.75
만남의광장,3,22,73,1,1,182.65,3,326.2
만남의광장,3,23,76,2,3,170.94,4,921.5
만남의광장,3,24,38,2,5,71.77,4,267.3
죽전휴게소,1,1,523,67,13,1221.26,156,723.33
죽전휴게소,1,2,273,29,11,937.19,100,1530.17
죽전휴게소,1,3,150,16,11,633.15,68,770.76
죽전휴게소,1,4,120,14,12,464.84,54,706.17
죽전휴게소,1,5,183,25,14,565.26,77,769.51
죽전휴게소,1,6,585,49,8,1932.84,162,706.13
죽전휴게소,1,7,1749,115,7,4515.15,297,453.58
죽전휴게소,1,8,2705,166,6,5327.22,327,809.73
죽전휴게소,1,9,2794,205,7,5514.1,405,844.16
죽전휴게소,1,10,2171,245,11,4564.3,515,792.15
죽전휴게소,1,11,1774,221,12,3798.02,473,1237.83
죽전휴게소,1,12,1617,208,13,3553.9,457,1497.33
죽전휴게소,1,13,1824,313,17,3985.68,684,1466.58
죽전휴게소,1,14,2231,290,13,4909.32,638,1220.64
죽전휴게소,1,15,2197,300,14,4932.51,674,1245.65
죽전휴게소,1,16,2352,314,13,5512.79,736,1152.34
죽전휴게소,1,17,2019,251,12,4890.3,608,955.6
죽전휴게소,1,18,2107,245,12,5030.62,585,830.88
죽전휴게소,1,19,2446,384,16,5255,825,1129.1
죽전휴게소,1,20,2373,310,13,5354.74,700,1030.16
죽전휴게소,1,21,2119,237,11,4584.05,513,926.14
죽전휴게소,1,22,1873,194,10,4725.19,489,785.92
죽전휴게소,1,23,978,101,10,3185.12,329,718.88
죽전휴게소,1,24,717,81,11,2617.74,296,478.1
죽전휴게소,2,1,33,7,21,33.1,7,4376.74
죽전휴게소,2,2,36,4,11,51.91,6,2039.4
죽전휴게소,2,3,37,2,5,60.21,3,4632.1
죽전휴게소,2,4,32,4,13,83,10,4624.65
죽전휴게소,2,5,37,6,16,78.76,13,2147.73
죽전휴게소,2,6,79,6,8,209.03,16,981.87
죽전휴게소,2,7,131,9,7,427.01,29,2286.42
죽전휴게소,2,8,157,11,7,624.18,44,1832.04
죽전휴게소,2,9,129,2,2,631.36,10,1620.7
죽전휴게소,2,10,158,4,3,749.95,19,1074.9
죽전휴게소,2,11,130,7,5,484.81,26,2116.74
죽전휴게소,2,12,158,20,13,530.17,67,2236.86
죽전휴게소,2,13,172,6,3,560.02,20,2463.73
죽전휴게소,2,14,136,6,4,496.96,22,2396.33
죽전휴게소,2,15,143,6,4,507.79,21,2206.33
죽전휴게소,2,16,144,2,1,559.59,8,4213.8
죽전휴게소,2,17,128,5,4,472.54,18,3235.44
죽전휴게소,2,18,127,6,5,555.77,26,420.03
죽전휴게소,2,19,184,19,10,702.09,72,2301.47
죽전휴게소,2,20,182,28,15,749.22,115,701.54
죽전휴게소,2,21,170,14,8,678.29,56,648.47
죽전휴게소,2,22,153,3,2,484.79,10,455.2
죽전휴게소,2,23,89,3,3,359.97,12,361.13
죽전휴게소,2,24,48,0,0,217.64,0,0
죽전휴게소,3,1,106,11,10,203,21,2252.87
죽전휴게소,3,2,101,8,8,219.29,17,2187.6
죽전휴게소,3,3,116,7,6,307.23,19,702.54
죽전휴게소,3,4,107,17,16,304.33,48,1927.64
죽전휴게소,3,5,174,22,13,456.16,58,1365
죽전휴게소,3,6,245,16,7,652.22,43,1804.99
죽전휴게소,3,7,233,17,7,665.84,49,702.44
죽전휴게소,3,8,115,12,10,385.44,40,1622.67
죽전휴게소,3,9,100,9,9,281.56,25,3385.44
죽전휴게소,3,10,76,5,7,292.8,19,1240.36
